Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,File,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,,,Aspire.Hosting.AppHost 9.5.1,,,,,"Aspire.Hosting.AppHost, 9.5.1  Recommendation:  Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost 13.1.0"
NuGet.0005,NuGet package is deprecated,Active,Optional,1,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,File,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,,,Aspire.Hosting.AppHost 9.5.1,,,,,"Aspire.Hosting.AppHost, 9.5.1  Recommendation:  This version is out of support and is no longer maintained. Please upgrade to the latest version. See our support policy for details: https://aka.ms/dotnet/aspire/support Remove Aspire.Hosting.AppHost, and replace with new package Aspire.Hosting.AppHost, 13.1.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,File,DavidKuehn.Portfolio.AppHost\DavidKuehn.Portfolio.AppHost.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,File,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,,,Microsoft.Extensions.Http.Resilience 8.10.0,,,,,"Microsoft.Extensions.Http.Resilience, 8.10.0  Recommendation:  Remove Microsoft.Extensions.Http.Resilience, and replace with new package Microsoft.Extensions.Http.Resilience 10.2.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,File,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,,,Microsoft.Extensions.ServiceDiscovery 9.5.1,,,,,"Microsoft.Extensions.ServiceDiscovery, 9.5.1  Recommendation:  Remove Microsoft.Extensions.ServiceDiscovery, and replace with new package Microsoft.Extensions.ServiceDiscovery 10.2.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,File,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.AspNetCore 1.9.0,,,,,"OpenTelemetry.Instrumentation.AspNetCore, 1.9.0  Recommendation:  Remove OpenTelemetry.Instrumentation.AspNetCore, and replace with new package OpenTelemetry.Instrumentation.AspNetCore 1.15.0"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,File,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,,,OpenTelemetry.Instrumentation.Http 1.9.0,,,,,"OpenTelemetry.Instrumentation.Http, 1.9.0  Recommendation:  Remove OpenTelemetry.Instrumentation.Http, and replace with new package OpenTelemetry.Instrumentation.Http 1.15.0"
Project.0002,Project's target framework(s) needs to be changed,Active,Mandatory,1,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,File,DavidKuehn.Portfolio.ServiceDefaults\DavidKuehn.Portfolio.ServiceDefaults.csproj,,,,,,,,Current target framework: net9.0 Recommended target framework: net10.0
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.WebApi\DavidKuehn.Portfolio.WebApi.csproj,File,DavidKuehn.Portfolio.WebApi\DavidKuehn.Portfolio.WebApi.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 9.0.8,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 9.0.8  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.2"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,DavidKuehn.Portfolio.WebApi\DavidKuehn.Portfolio.WebApi.csproj,File,DavidKuehn.Portfolio.WebApi\DavidKuehn.Portfolio.WebApi.csproj,,,Microsoft.AspNetCore.OpenApi 9.0.9,,,,,"Microsoft.AspNetCore.OpenApi, 9.0.9  Recommendation:  Remove Microsoft.AspNetCore.OpenApi, and replace with new package Microsoft.AspNetCore.OpenApi 10.0.2"
